"dateTimeID","aussen14_1_1","aussen14_1_2","tempNum"
"T170217040000",5,5,22
"T170217050000",5,5,22
"T170217060000",4.5,4.5,22
"T170217070000",5.5,5,22
"T170217080000",5.5,5,22
"T170217090000",5.5,5,22
"T170217100000",6,5.5,22
"T170217110000",6,6,22
"T170217120000",5.5,5,22
"T170217130000",5.5,5.5,22
"T170217140000",6,6,22
"T170217150000",5.5,5,22
"T170217160000",5.5,5.5,22
"T170217170000",5,4.5,22
"T170217180000",4.5,4,22
"T170217190000",3,3,22
"T170217200000",3,3,22
"T170217210000",3,2.5,22
"T170217220000",3,2.5,22
"T170217230000",2.5,2.5,22
"T180217000000",1.5,1,22
"T180217010000",0.5,0.5,22
"T180217020000",1,1,22
"T180217030000",1.5,1,22
"T180217040000",1.5,1,22
"T180217050000",1.5,1,22
"T180217060000",1.5,1.5,22
"T180217070000",1.5,1,22
"T180217080000",1.5,1.5,22
"T180217090000",1.5,1.5,22
"T180217100000",3,3,22
"T180217110000",3.5,3.5,22
"T180217120000",5,4.5,22
"T180217130000",6,5.5,22
"T180217140000",8,7.5,22
"T180217150000",8.5,8,22
"T180217160000",8.5,8,22
"T180217170000",8,7.5,22
"T180217180000",6,5.5,22
"T180217190000",3.5,3.5,22
"T180217200000",2.5,2,22
"T180217210000",1.5,1,22
"T180217220000",1,1,22
"T180217230000",0,-0.5,22
"T190217000000",-0.5,-1,22
"T190217010000",-1,-1.5,22
"T190217020000",-1.5,-1.5,22
"T190217030000",-2,-2,22
"T190217040000",-2,-2.5,22
"T190217050000",-1.5,-1.5,22
"T190217060000",-0.5,-1,22
"T190217070000",-0.5,-0.5,22
"T190217080000",-1,-1,22
"T190217090000",-0.5,-1,22
"T190217100000",0,0,22
"T190217110000",7,3,22
"T190217120000",5.5,5.5,22
"T190217130000",8.5,8.5,22
"T190217140000",9.5,9.5,22
"T190217150000",9,9,22
"T190217160000",9,9,22
"T190217170000",8.5,8,22
"T190217180000",7,6.5,22
"T190217190000",6,5.5,22
"T190217200000",4,4,22
"T190217210000",3,3,22
"T190217220000",3,3,22
"T190217230000",5.5,5,22
"T200217000000",4.5,4.5,22
"T200217010000",4.5,4,22
"T200217020000",4.5,4.5,22
"T200217030000",5.5,5,22
